Lucas,AAB123456,Madrid,12A,23.5,2025-06-10
2,Fernandez Maria,BBB987654,Roma,5C,18.0,2025-06-10
3,Lopez Juan,CCC456789,Paris,8F,31.2,2025-06-10
4,Martinez Sofia,DDD321654,Londres,3B,15.5,2025-06-10
5,Perez Diego,EEE147258,Miami,22D,28.0,2025-06-10
6,Gomez Ana,FFF963852,Nueva York,17A,10.0,2025-06-10
7,Torres Carlos,GGG741852,Cancun,6E,22.8,2025-06-10
8,Ramirez Laura,HHH369258,Tokio,14C,35.0,2025-06-10
9,Sanchez Pablo,III258147,Dubai,9B,19.5,2025-06-10
10,Herrera Valeria,JJJ852963,Sydney,1A,27.3,2025-06-10
11,Diaz Martin,KKK111222,Lisboa,4D,20.0,2025-06-10
12,Ruiz Camila,LLL333444,Berlin,11B,16.5,2025-06-10
13,Moreno Tomas,MMM555666,Amsterdam,7C,29.1,2025-06-10
14,Castro Elena,NNN777888,Ciudad de Mexico,2A,14.0,2025-06-10
15,Vega Roberto,OOO999000,Bangkok,3D,30.0,2025-06-10
16,Romero Julia,PPP112233,Tokio,18C,24.0,2025-06-10
17,Navarro Diego,QQQ445566,Londres,9D,11.3,2025-06-10
18,Iglesias Ana,RRR778899,Paris,3F,33.7,2025-06-10
19,Medina Carlos,SSS001122,Roma,7B,17.2,2025-06-10
20,Guerrero Sofia,TTT334455,Nueva York,14A,26.8,2025-06-10
21,Jimenez Pablo,UUU667788,Miami,5C,21.0,2025-06-10
22,Reyes Laura,VVV990011,Berlin,10B,13.5,2025-06-10
23,Soto Miguel,WWW223344,Sydney,6E,28.4,2025-06-10
24,Vargas Carmen,XXX556677,Dubai,1D,9.8,2025-06-10
25,Molina Andres,YYY889900,Lisboa,8A,31.0,2025-06-10
