ID: 1. [Nombre: Garcia Lucas | Pasaporte: AAB123456 | Destino: Madrid | Asiento: 12A | Equipaje: 23.5kg | Fecha: 2025-06-10 | Estado: emarbcado]ID: 2. [Nombre: Fernandez Maria | Pasaporte: BBB987654 | Destino: Roma | Asiento: 5C | Equipaje: 18.0kg | Fecha: 2025-06-10 | Estado: embarcado]ID: 3. [Nombre: Lopez Juan | Pasaporte: CCC456789 | Destino: Paris | Asiento: 8F | Equipaje: 31.2kg | Fecha: 2025-06-10 | Estado: embarcado]ID: 4. [Nombre: Martinez Sofia | Pasaporte: DDD321654 | Destino: Londres | Asiento: 3B | Equipaje: 15.5kg | Fecha: 2025-06-10 | Estado: embarcado]ID: 1. [Nombre: Garcia Lucas | Pasaporte: AAB123456 | Destino: Madrid | Asiento: 12A | Equipaje: 23.5kg | Fecha: 2025-06-10 | Estado: embarcado]ID: 1. [Nombre: Garcia Lucas | Pasaporte: AAB123456 | Destino: Madrid | Asiento: 12A | Equipaje: 23.5kg | Fecha: 2025-06-10 | Estado: embarcado]
ID: 2. [Nombre: Fernandez Maria | Pasaporte: BBB987654 | Destino: Roma | Asiento: 5C | Equipaje: 18.0kg | Fecha: 2025-06-10 | Estado: emabarcado]
ID: 1. [Nombre: Garcia Lucas | Pasaporte: AAB123456 | Destino: Madrid | Asiento: 12A | Equipaje: 23.5kg | Fecha: 2025-06-10 | Estado: embarcado]
ID: 2. [Nombre: Fernandez Maria | Pasaporte: BBB987654 | Destino: Roma | Asiento: 5C | Equipaje: 18.0kg | Fecha: 2025-06-10 | Estado: embarcado]
ID: 3. [Nombre: Lopez Juan | Pasaporte: CCC456789 | Destino: Paris | Asiento: 8F | Equipaje: 31.2kg | Fecha: 2025-06-10 | Estado: embarcado]
ID: 1. [Nombre: Garcia Lucas | Pasaporte: AAB123456 | Destino: Madrid | Asiento: 12A | Equipaje: 23.5kg | Fecha: 2025-06-10 | Estado: embarcado]
ID: 1. [Nombre: Garcia Lucas | Pasaporte: AAB123456 | Destino: Madrid | Asiento: 12A | Equipaje: 23.5kg | Fecha: 2025-06-10 | Estado: embarcado]
ID: 2. [Nombre: Fernandez Maria | Pasaporte: BBB987654 | Destino: Roma | Asiento: 5C | Equipaje: 18.0kg | Fecha: 2025-06-10 | Estado: embarcado]
ID: 1. [Nombre: Garcia Lucas | Pasaporte: AAB123456 | Destino: Madrid | Asiento: 12A | Equipaje: 23.5kg | Fecha: 2025-06-10 | Estado: embarcado]
ID: 1. [Nombre: Garcia Lucas | Pasaporte: AAB123456 | Destino: Madrid | Asiento: 12A | Equipaje: 23.5kg | Fecha: 2025-06-10 | Estado: embarcado]
ID: 1. [Nombre: Garcia Lucas | Pasaporte: AAB123456 | Destino: Madrid | Asiento: 12A | Equipaje: 23.5kg | Fecha: 2025-06-10 | Estado: embarcado]
ID: 1. [Nombre: Garcia Lucas | Pasaporte: AAB123456 | Destino: Madrid | Asiento: 12A | Equipaje: 23.5kg | Fecha: 2025-06-10 | Estado: embarcado]
ID: 1. [Nombre: Garcia Lucas | Pasaporte: AAB123456 | Destino: Madrid | Asiento: 12A | Equipaje: 23.5kg | Fecha: 2025-06-10 | Estado: embarcado]
ID: 1. [Nombre: Garcia Lucas | Pasaporte: AAB123456 | Destino: Madrid | Asiento: 12A | Equipaje: 23.5kg | Fecha: 2025-06-10 | Estado: embarcado]
ID: 2. [Nombre: Fernandez Maria | Pasaporte: BBB987654 | Destino: Roma | Asiento: 5C | Equipaje: 18.0kg | Fecha: 2025-06-10 | Estado: embarcado]
ID: 3. [Nombre: Lopez Juan | Pasaporte: CCC456789 | Destino: Paris | Asiento: 8F | Equipaje: 31.2kg | Fecha: 2025-06-10 | Estado: embarcado]
ID: 1. [Nombre: Garcia Lucas | Pasaporte: AAB123456 | Destino: Madrid | Asiento: 12A | Equipaje: 23.5kg | Fecha: 2025-06-10 | Estado: embarcado]
ID: 2. [Nombre: Fernandez Maria | Pasaporte: BBB987654 | Destino: Roma | Asiento: 5C | Equipaje: 18.0kg | Fecha: 2025-06-10 | Estado: embarcado]
ID: 3. [Nombre: Lopez Juan | Pasaporte: CCC456789 | Destino: Paris | Asiento: 8F | Equipaje: 31.2kg | Fecha: 2025-06-10 | Estado: embarcado]
ID: 4. [Nombre: Martinez Sofia | Pasaporte: DDD321654 | Destino: Londres | Asiento: 3B | Equipaje: 15.5kg | Fecha: 2025-06-10 | Estado: embarcado]
ID: 7. [Nombre: Torres Carlos | Pasaporte: GGG741852 | Destino: Cancun | Asiento: 6E | Equipaje: 22.8kg | Fecha: 2025-06-10 | Estado: embarcado]
ID: 9. [Nombre: Sanchez Pablo | Pasaporte: III258147 | Destino: Dubai | Asiento: 9B | Equipaje: 19.5kg | Fecha: 2025-06-10 | Estado: embarcado]
ID: 10. [Nombre: Herrera Valeria | Pasaporte: JJJ852963 | Destino: Sydney | Asiento: 1A | Equipaje: 27.3kg | Fecha: 2025-06-10 | Estado: embarcado]
